#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
38,"Bumble Bee","Bambee",65,138,"europop, eurodance","Electronic, Pop","On Ice",1999-00-00,03:16,64,99,1,1,97,0,30,-3,A#/B♭ minor,4,2025-11-16,4ClrxCunp65JdTQrhvsksy,"Boomed AS",3A,USA2P2423398
39,"Wasting Time","Day Wave",0,151,"dream pop, surf rock","Pop, Rock","Wasting Time",2016-11-04,04:06,47,77,55,81,44,0,10,-8,A,4,2025-11-16,4B7AwiMe01IwjiL2LbrtmF,"I OH YOU / Liberator Music",11B,USUM71614507
40,"Right Behind You Baby","Ray Smith",42,88,"rockabilly","Rock","Sun Records - 60 Years, 60 Singles Box Set",2012-07-31,02:23,61,85,77,0,96,0,10,-8,A minor,4,2025-11-16,4HN7R0zJTwLpK5f5xpGMbV,"Warner Music Group - X5 Music Group",8A,USSE60470791
41,"Everlong","Foo Fighters",84,158,"rock, post-grunge, alternative rock, grunge","Rock","The Colour And The Shape",1997-05-20,04:10,41,88,0,0,36,0,0,-6,B minor,4,2025-11-16,5UWwZ5lm5PKu6eKsHAGxOk,"RCA Records Label",10A,USRW29600011
42,"Salute Your Solution","The Saboteurs",31,168,"","","Consolers of the Lonely",2008-03-25,02:59,27,95,1,0,50,10,20,-3,A,4,2025-11-16,6u25PWOAtbVySmGsY45Ie1,"Legacy Recordings",11B,USSM12103796
43,"Mr. Blue Sky","Electric Light Orchestra",80,178,"art rock, soft rock","Rock","Out of the Blue",1977-00-00,05:03,39,34,65,0,48,0,20,-10,A#/B♭,4,2025-11-16,2RlgNHKcydI9sayD2Df2xp,"Epic/Legacy",6B,USSM17200399
44,"Take Me Home, Country Roads","John Denver",74,82,"folk","Folk","The John Denver Collection, Vol 1: Take Me Home Country Roads",1997-06-17,03:17,38,43,55,0,55,0,10,-13,A,4,2025-11-16,1QbOvACeYanja5pbnJbAmk,"Windstar Records",11B,USA370529726
45,"Don't Go Breaking My Heart","Elton John, Kiki Dee",79,131,"","","Rock Of The Westies",1975-10-24,04:35,73,84,15,0,78,0,0,-9,F,4,2025-11-16,7HW5WIw7ZgZORCzUxv5gW5,"EMI",7B,GBALX7600007
46,"Uranium Fever","Elton Britt",49,119,"traditional country","Country, Traditional Music","Presenting Elton Britt",1955-12-03,02:19,79,51,84,0,91,10,0,-8,D#/E♭,4,2025-11-16,7IPzEPRs8Y3j0hieZ4wdYf,"Universal Digital Enterprises",5B,DEZZ42171390
47,"Dear Hearts And Gentle People","Bob Crosby & The Bob Cats",49,93,"big band, swing music, ragtime","Jazz","Bob Crosby and the Bobcats: The Complete Standard Transcriptions",2004-00-00,02:13,66,28,98,0,86,0,20,-13,F minor,3,2025-11-16,4hmKe6YigInvKIPFd1xT03,"SOUNDIES",4A,US53D0429101
48,"Blue Monday","New Order",73,130,"new wave, synthpop, post-punk, madchester","Rock, Pop, Electronic","Substance",1987-08-17,07:29,76,65,0,86,94,0,10,-13,C,4,2025-11-16,6hHc7Pks7wtBIW8Z6A0iFq,"Rhino",8B,GBAAP0001115
49,"Rusty Cage","Johnny Cash",56,95,"classic country, outlaw country, country","Country","American II: Unchained",1996-01-01,02:48,50,73,61,0,51,0,20,-6,D,4,2025-11-16,5l7KTwdgBLrx2PhFHnYoQ4,"American Recordings Catalog P&D",10B,USSM19605688
50,"Numb","Linkin Park",88,110,"nu metal, rap metal, rock, alternative metal","Metal, Rock, Hip Hop","Meteora",2003-03-25,03:07,49,87,0,0,21,0,40,-4,F#/G♭ minor,4,2025-11-16,2nLtzopw4rPReszdYBJU6h,"Warner Records",11A,USWB10300474
51,"All The Things She Said","t.A.T.u.",80,180,"","","200 KM/H In The Wrong Lane (10th Anniversary Edition)",2002-00-00,03:34,53,83,4,1,38,0,10,-6,F minor,4,2025-11-16,4bJygwUKrRgq1stlNXcgMg,"Interscope",4A,RUA110100098
52,"Lithium","Nirvana",74,123,"grunge, rock","Rock","Nevermind (Remastered)",1991-09-26,04:17,68,66,0,0,49,0,0,-6,G,4,2025-11-16,5vHLwhxxlGzmClMcxRRFPr,"Geffen",9B,USGF19942505
53,"You're My Best Friend - Remastered 2011","Queen",66,119,"classic rock, rock, glam rock","Rock","A Night At The Opera (2011 Remaster)",1975-11-21,02:50,51,76,15,1,55,0,0,-7,C,4,2025-11-16,4vhVDkSx9RSb2k6mWFMYNI,"EMI",8B,GBUM71029609
